workout_id,duration_mins,avg_hr,max_hr,hr_spikes,pct_time_low,avg_emg,emg_fatigue,total_reps,effectiveness_label
w_9e33f449,75.4,161.3,180.0,12,3.0,657.7,34.7,202,3
w_1111ca23,43.2,126.4,155.9,4,17.9,387.1,15.2,110,2
w_e399dc4d,46.4,134.7,162.2,6,24.0,478.5,12.5,139,2
w_f44f7644,5.8,92.4,107.9,0,66.0,140.2,3.0,28,0
w_ca2cfeb7,14.5,88.7,103.4,1,82.1,148.5,1.4,34,0
w_a6418351,38.5,136.3,163.3,6,14.8,468.8,20.9,76,2
w_45916e17,35.8,162.3,181.4,4,3.0,521.9,30.6,192,3
w_6f49ff5b,49.6,91.9,115.6,5,65.1,645.5,39.1,39,3
w_addde8b1,35.4,139.1,168.3,7,9.6,429.0,23.7,112,2
w_9de62eda,39.2,127.5,148.2,2,19.3,479.8,23.1,137,2
w_0253a78e,5.5,89.5,100.1,1,87.1,51.6,1.2,10,0
w_740a5f27,36.8,144.7,174.7,4,12.0,492.0,15.2,127,2
w_3281be85,41.6,138.7,160.1,5,16.7,469.1,23.4,152,2
w_c7a62386,10.5,130.0,159.9,5,6.5,329.6,21.3,66,0
w_97689145,33.3,152.6,187.5,5,6.0,456.7,18.6,118,2
w_aefd49ab,47.5,158.6,181.5,7,6.0,430.7,10.7,318,3
w_6b4b92da,36.3,144.9,174.6,3,11.9,560.8,18.1,155,2
w_2e1e375c,7.7,76.1,93.7,1,77.1,84.4,0.7,23,0
w_8b0ecf34,45.6,114.8,132.6,0,45.0,193.9,6.6,75,1
w_8e2ebf19,36.6,107.3,121.5,3,39.0,292.6,15.6,65,1
w_f90cfbc8,48.2,171.5,201.4,7,3.0,614.1,43.8,233,3
w_22a89afe,43.2,134.2,164.5,4,9.4,381.0,14.5,126,2
w_ea1473fd,4.8,92.9,107.1,1,63.5,105.2,2.1,8,0
w_7978ed67,4.7,131.3,148.6,3,1.2,392.5,11.6,54,0
w_ab0f48c9,69.0,153.4,186.6,11,0.3,690.5,36.1,210,3
w_18cadf8b,3.8,121.1,146.1,1,12.0,705.6,11.2,3,0
w_27f2310e,42.3,137.1,168.3,6,5.2,385.2,16.1,158,2
w_a31c5519,32.2,99.5,118.9,0,42.9,265.9,6.9,55,1
w_63ad1787,44.3,112.7,132.9,2,45.0,231.1,9.7,59,1
w_82100882,43.0,130.8,157.1,2,20.3,528.5,25.2,131,2
w_5ec5df9d,10.0,86.1,97.4,0,55.6,115.0,4.2,29,0
w_edefff3c,39.6,137.3,159.1,6,8.2,550.8,18.0,106,2
w_bc161a42,22.8,79.2,88.8,0,55.7,65.3,4.2,48,0
w_369a9e28,36.2,88.9,108.1,1,54.3,735.5,22.3,48,3
w_0f47ac02,53.5,102.3,138.7,3,52.2,648.9,37.6,76,3
w_d2faa82a,26.6,130.3,147.6,4,25.0,348.8,11.7,58,1
w_4530cabf,39.6,144.1,168.8,7,5.8,480.2,23.1,93,2
w_64957a4f,5.4,85.9,92.4,1,60.0,95.9,2.7,27,0
w_da50766e,29.7,104.8,126.6,0,43.8,179.5,3.5,69,1
w_be1a984b,20.1,122.0,149.9,2,8.9,332.7,15.1,58,1
w_65f7ced2,28.9,154.8,173.9,6,4.4,499.2,24.6,99,2
w_bf3f3e6d,46.7,104.1,122.6,1,55.1,258.5,11.0,93,1
w_112a6b14,77.8,144.9,173.8,12,2.2,538.4,41.2,258,3
